"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Housing Units with 0 Vehicles Available","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","phunomv","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85140","AZ","85140","=""85140""","0.97","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85141","AZ","85141","=""85141""","1.22","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85142","AZ","85142","=""85142""","1.56","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85143","AZ","85143","=""85143""","3.62","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85145","AZ","85145","=""85145""","0.89","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85147","AZ","85147","=""85147""","20.32","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85172","AZ","85172","=""85172""","2.33","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85173","AZ","85173","=""85173""","5.12","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85191","AZ","85191","=""85191""","0.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85192","AZ","85192","=""85192""","2.68","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85193","AZ","85193","=""85193""","1.04","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85194","AZ","85194","=""85194""","1.18","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85201","AZ","85201","=""85201""","10.11","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85202","AZ","85202","=""85202""","7.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85203","AZ","85203","=""85203""","5.76","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85204","AZ","85204","=""85204""","3.36","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85205","AZ","85205","=""85205""","4.96","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85206","AZ","85206","=""85206""","7.27","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85207","AZ","85207","=""85207""","3.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85208","AZ","85208","=""85208""","4.22","2020-2024","2020","Census","Arizona (State)"
